,city,school_name,sector,school_subclass,curricular_class
893,quezon,"new life educational center, inc.",private,non-sectarian,es and jhs (k to 10)
894,quezon,"our lady of grace mediatrix school of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
895,quezon,our lady of mercy school of quezon city,private,non-sectarian,all offering (k to 12)
896,quezon,our lord saviour academy inc.,private,non-sectarian,es and jhs (k to 10)
897,quezon,peacemaker international christian academy,private,non-sectarian,all offering (k to 12)
898,quezon,precious learning institute,private,non-sectarian,purely es
899,quezon,"promise land christian school of payatas, inc.",private,non-sectarian,purely es
900,quezon,school of the holy spirit of quezon city,private,sectarian,all offering (k to 12)
901,quezon,"shalom akademeia of quezon city, inc.",private,non-sectarian,purely es
902,quezon,"sisters of mt. carmel catholic school, inc.",private,sectarian,all offering (k to 12)
903,quezon,st. anthony de padua school learning school (batasan),private,non-sectarian,all offering (k to 12)
904,quezon,st. dominique academy of quezon city,private,non-sectarian,purely es
905,quezon,st. francis de assisi school of quezon city,private,non-sectarian,es and jhs (k to 10)
906,quezon,st. gregory learning center,private,non-sectarian,es and jhs (k to 10)
907,quezon,"st. john school of quezon city, inc.",private,non-sectarian,purely es
908,quezon,st. mark international academy,private,non-sectarian,es and jhs (k to 10)
909,quezon,st. nazaire school of quezon city,private,non-sectarian,es and jhs (k to 10)
910,quezon,st. vincent institute of arts & sciences,private,non-sectarian,es and jhs (k to 10)
911,quezon,sto. niño institute of science and technology,private,non-sectarian,es and jhs (k to 10)
912,quezon,"(his) hope integrated school, inc",private,non-sectarian,all offering (k to 12)
913,quezon,the seed montessori school,private,non-sectarian,all offering (k to 12)
914,quezon,village school of parkwoods,private,non-sectarian,es and jhs (k to 10)
915,quezon,"rench nazarene learning center, inc.",private,non-sectarian,purely es
916,quezon,"the children""s ark preparatory school",private,non-sectarian,purely es
917,quezon,kiddos' beginnings foundation,private,non-sectarian,purely es
918,quezon,"falcon school, inc.",private,non-sectarian,all offering (k to 12)
919,quezon,"kinderheim, inc.",private,non-sectarian,purely es
920,quezon,"siloam christian academy, inc.",private,non-sectarian,es and jhs (k to 10)
921,quezon,"the lord of grace christian school, inc.",private,non-sectarian,es and jhs (k to 10)
922,quezon,young scholars academy,private,non-sectarian,purely es
923,quezon,st. therese of the child jesus smartchild preparatory center,private,sectarian,purely es
924,quezon,golden lamp school of quezon city,private,non-sectarian,es and jhs (k to 10)
925,quezon,don fabian school of quezon city,private,non-sectarian,purely es
926,quezon,"aseab christian learning center, inc.",private,non-sectarian,purely es
927,quezon,"brain integrated school, inc.",private,non-sectarian,purely es
928,quezon,"dakila school foundation, inc.",private,non-sectarian,purely es
929,quezon,"immaculate mother school, quezon city, inc.",private,sectarian,purely es
930,quezon,lifespring academy of quezon city,private,non-sectarian,es and jhs (k to 10)
931,quezon,"great minds montessori and christian school, inc.",private,non-sectarian,purely es
932,quezon,cornerstone christian academy of quezon city,private,non-sectarian,all offering (k to 12)
933,quezon,del carmen school of veterans quezon city,private,non-sectarian,all offering (k to 12)
934,quezon,kumfee care learning center,private,non-sectarian,purely es
935,quezon,"st. anthony learning institute of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
936,quezon,"learning institute of st. augustine, inc.",private,non-sectarian,purely es
937,quezon,"commonwealth christian academy foundation, inc.",private,non-sectarian,purely jhs
938,quezon,"oriole learning school, inc.",private,non-sectarian,purely es
939,quezon,"st. andrew academy of quezon city, inc.",private,non-sectarian,all offering (k to 12)
940,quezon,our lady of carmelite academy,private,non-sectarian,purely es
941,quezon,commonwealth leaners christian school,private,non-sectarian,purely es
942,quezon,"o la grati provi school, inc.",private,non-sectarian,purely es
943,quezon,"master""s care christian school",private,non-sectarian,purely es
944,quezon,kumdan jungang christian school inc.,private,non-sectarian,es and jhs (k to 10)
945,quezon,olympian preparatory & english school inc.,private,non-sectarian,all offering (k to 12)
946,quezon,san jose tagapagtanggol parochial school,private,non-sectarian,all offering (k to 12)
947,quezon,"la violette school of quezon city, inc.",private,non-sectarian,purely es
948,quezon,"imelda operio's learning school, inc..",private,non-sectarian,all offering (k to 12)
949,quezon,"fiore del carmelo school, inc.",private,sectarian,all offering (k to 12)
950,quezon,"progeny ardent school, inc.",private,non-sectarian,es and jhs (k to 10)
951,quezon,peacemaker international christian academy branch,private,non-sectarian,purely es
952,quezon,"flor de grace school, inc.",private,non-sectarian,purely es
953,quezon,sgs-shephedrs's grace school,private,non-sectarian,es and jhs (k to 10)
954,quezon,divine grace christian academy of qc,private,non-sectarian,es and jhs (k to 10)
955,quezon,"bethel christian school of holy spirit, inc.",private,non-sectarian,es and jhs (k to 10)
956,quezon,"breakthrough christian academy, inc.",private,non-sectarian,es and jhs (k to 10)
957,quezon,stepstone christian academy,private,non-sectarian,es and jhs (k to 10)
958,quezon,st. zyrile de alexandria school,private,non-sectarian,purely es
959,quezon,holy spirit preparatory academy of qc,private,non-sectarian,all offering (k to 12)
960,quezon,"anima christi academy, inc.",private,non-sectarian,purely es
961,quezon,"pmf elizabeth academy, inc.",private,non-sectarian,purely es
962,quezon,"pail and shovel integrated school, inc.",private,non-sectarian,purely es
963,quezon,st. john de brebeuf integrated school inc.,private,non-sectarian,purely es
964,quezon,cruz na ligas es,public,deped managed,purely es
965,quezon,malaya es,public,deped managed,purely es
966,quezon,pinyahan es,public,deped managed,purely es
967,quezon,san vicente es,public,deped managed,purely es
968,quezon,balara hs,public,deped managed,jhs with shs
969,quezon,shs within pinyahan es,public,deped managed,purely shs
970,quezon,"i.d.e.a.s. montessori, inc.",private,non-sectarian,purely es
971,quezon,"mary immaculate academy of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
972,quezon,"ateneo de manila university, inc.",private,non-sectarian,all offering (k to 12)
973,quezon,balara academy,private,non-sectarian,purely jhs
974,quezon,benedictine international school,private,non-sectarian,all offering (k to 12)
975,quezon,"centro montessori internationale, inc.",private,non-sectarian,purely es
976,quezon,diliman christian institute,private,non-sectarian,all offering (k to 12)
977,quezon,"diliman preparatory school, inc. - main",private,non-sectarian,all offering (k to 12)
978,quezon,"kostka school, inc.",private,non-sectarian,all offering (k to 12)
979,quezon,miriam college,private,sectarian,all offering (k to 12)
980,quezon,blue ridge christian academy,private,non-sectarian,es and jhs (k to 10)
981,quezon,"fairfield school, inc.",private,non-sectarian,purely es
982,quezon,manuel l. quezon university,private,non-sectarian,all offering (k to 12)
983,quezon,"kids haven school and foreign language center, inc.",private,non-sectarian,purely es
984,quezon,"smallville montessori, inc.",private,non-sectarian,purely es
985,quezon,giovanni battista leonard school,private,sectarian,purely es
986,quezon,"lux domine academy, inc",private,non-sectarian,all offering (k to 12)
987,quezon,multiple intelligence international school,private,non-sectarian,all offering (k to 12)
988,quezon,pediamorphosis house,private,non-sectarian,purely es
989,quezon,remnant international christian school,private,non-sectarian,jhs with shs
990,quezon,"the abba's orchard school, inc",private,non-sectarian,purely es
991,quezon,casa de bambini learning center,private,non-sectarian,purely es
992,quezon,"family montessori preschool of loyola, inc.",private,non-sectarian,purely es
993,quezon,santa rafaela maria school,private,sectarian,purely es
994,quezon,headway school for giftedness,private,non-sectarian,purely es
995,quezon,"affordable private education center, inc. (apec schools) -v. luna br.",private,non-sectarian,jhs with shs
996,quezon,parish of the holy sacrifice outreach program foundation inc.,private,non-sectarian,purely es
997,quezon,camp crame es,public,deped managed,purely es
998,quezon,ponciano bernardo es,public,deped managed,purely es
999,quezon,camp gen. e. aguinaldo hs,public,deped managed,jhs with shs
1000,quezon,carlos p. garcia hs,public,deped managed,purely jhs
1001,quezon,shs within p. tuazon es,public,deped managed,purely shs
1002,quezon,"samson college of science and technology, inc.",private,non-sectarian,purely shs
1003,quezon,st. bridget school,private,sectarian,all offering (k to 12)
1004,quezon,stella maris college,private,sectarian,all offering (k to 12)
1005,quezon,"the learning tree child growth center, inc.- cubao",private,non-sectarian,purely es
1006,quezon,chime learning school,private,non-sectarian,purely es
1007,quezon,positive thinker learning center inc.,private,non-sectarian,purely es
1008,quezon,"south east asia mission christian academy (seamca), inc.",private,non-sectarian,purely es
1009,quezon,"twinkle toes academy, inc.",private,non-sectarian,purely es
1010,quezon,lord jesus learning institute,private,non-sectarian,purely es
1011,quezon,"angelissimo center for learning, inc.",private,non-sectarian,purely es
1012,quezon,corner house learning center,private,non-sectarian,purely es
1013,quezon,most holy rosary of pompei pre-school,private,sectarian,purely es
1014,quezon,philippine association of university women-up child study center inc.,private,non-sectarian,purely es
1015,quezon,general  roxas elementary school,public,deped managed,purely es
1016,quezon,kamuning es,public,deped managed,purely es
1017,quezon,marcelo h. del pilar es,public,deped managed,purely es
1018,quezon,tomas morato es,public,deped managed,purely es
1019,quezon,jose p. laurel sr. high school,public,deped managed,jhs with shs
1020,quezon,don quintin paredes hs,public,deped managed,purely jhs
1021,quezon,quirino hs,public,deped managed,jhs with shs
1022,quezon,shs within kamuning es - a&d,public,deped managed,purely shs
1023,quezon,fernando c. amorsolo shs,public,deped managed,purely shs
1024,quezon,international school for culinary arts and hotel management-quezon city,private,non-sectarian,purely shs
1025,quezon,"the living epistle christian academy, inc.",private,non-sectarian,all offering (k to 12)
1026,quezon,holy angels montessori school - main,private,non-sectarian,es and jhs (k to 10)
1027,quezon,national college of business and arts - cubao (main),private,non-sectarian,es and jhs (k to 10)
1028,quezon,"the builders' school building ideas crafting solutions, inc.",private,non-sectarian,purely es
1029,quezon,kidschool,private,non-sectarian,purely es
1030,quezon,"expressive minds early childhood center, inc.",private,non-sectarian,purely es
1031,quezon,st. francis academy of quezon city,private,non-sectarian,es and jhs (k to 10)
1032,quezon,"temple hill international school, inc.",private,non-sectarian,all offering (k to 12)
1033,quezon,"teaching children through personalized interventions (tctpi) academy, inc.",private,non-sectarian,es and jhs (k to 10)
1034,quezon,"little sandbox school, inc.",private,non-sectarian,purely es
1035,quezon,"clues learning center of quezon city, inc.",private,non-sectarian,purely es
1036,quezon,links learning center corp.,private,non-sectarian,purely es
1037,quezon,"bridges foundation, incorporated",private,non-sectarian,purely es
1038,quezon,aurora a. quezon es,public,deped managed,purely es
1039,quezon,betty go belmonte es,public,deped managed,purely es
1040,quezon,diosdado p. macapagal es (tatalon es),public,deped managed,purely es
1041,quezon,juan sumulong high school,public,deped managed,jhs with shs
1042,quezon,"southeast asian college, inc.",private,sectarian,purely shs
1043,quezon,abraham dumlao colleges of the phils.,private,non-sectarian,purely shs
1044,quezon,st. joseph catholic school,private,sectarian,all offering (k to 12)
1045,quezon,jcsgo christian academy,private,non-sectarian,all offering (k to 12)
1046,quezon,"alternative learning resource school - philippines (alres-phils.), inc.",private,sectarian,purely es
1047,quezon,"saint clare kiddie educational center, inc",private,non-sectarian,purely es
1048,quezon,st. peter velle technical traning center inc.,private,non-sectarian,purely shs
1049,quezon,little k12 learning center inc.,private,non-sectarian,purely es
1050,quezon,"jordan woods academy, inc.",private,non-sectarian,purely shs
1051,quezon,st. jerome learning school,private,non-sectarian,purely es
1052,quezon,pre-primary growth center,private,non-sectarian,purely es
1053,quezon,st. ignatius school,private,sectarian,purely es
1054,quezon,"starland international school, inc.-branch",private,non-sectarian,purely es
1055,quezon,st. anselm preschool,private,non-sectarian,purely es
1056,quezon,"kinder minds, inc.",private,non-sectarian,purely es
1057,quezon,quezon city adventist elementary school,private,non-sectarian,purely es
1058,quezon,"jardine kiddie playhouse center, inc.",private,non-sectarian,purely es
1059,quezon,"st. francis integrated arts school, inc.",private,non-sectarian,purely es
1060,quezon,"ephesians christian academy of quezon city, inc.",private,non-sectarian,purely es
1061,quezon,bagbag elementary school,public,deped managed,purely es
1062,quezon,goodwill es,public,deped managed,purely es
1063,quezon,odelco elementary school,public,deped managed,purely es
1064,quezon,san bartolome es,public,deped managed,purely es
1065,quezon,krus na ligas hs,public,deped managed,jhs with shs
1066,quezon,"accesscomputer & technical colleges (lagro, quirino q.c.) inc.",private,sectarian,purely shs
1067,quezon,claret school of quezon city,private,sectarian,all offering (k to 12)
1068,quezon,gospel light christian academy,private,non-sectarian,all offering (k to 12)
1069,quezon,"holy family school of q.c., inc.",private,sectarian,all offering (k to 12)
1070,quezon,"phillipine medical womens (pmw) school, inc.",private,non-sectarian,purely es
1071,quezon,"st. vincent school of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
1072,quezon,"torch of life academy, inc.",private,non-sectarian,all offering (k to 12)
1073,quezon,"sto. niño special education center foundation,inc",private,non-sectarian,purely es
1074,quezon,blessed marian school of novaliches inc.,private,non-sectarian,purely es
1075,quezon,"fremont learning academy, inc.",private,non-sectarian,purely es
1076,quezon,progressive little saints learning center,private,non-sectarian,purely es
1077,quezon,"nest school for whole child development, inc.",private,non-sectarian,purely es
1078,quezon,"mayfield montessori academy, incorporated",private,non-sectarian,all offering (k to 12)
1079,quezon,"ambassador school for children, inc.",private,non-sectarian,purely es
1080,quezon,"the learning tree child growth center, inc.",private,non-sectarian,es and jhs (k to 10)
1081,quezon,"brittany christian academy, inc.",private,non-sectarian,es and jhs (k to 10)
1082,quezon,"cradle of learners (inclusive school for individualized education), inc.",private,non-sectarian,es and jhs (k to 10)
1083,quezon,"escuela de corazon of quezon city, inc.",private,non-sectarian,purely es
1084,quezon,"little stephanie learning school, inc.",private,non-sectarian,purely es
1085,quezon,"john xanderian learning center, inc.",private,non-sectarian,purely es
1086,quezon,"our lady of the angels seminary-college, inc.",private,non-sectarian,all offering (k to 12)
1087,quezon,"little anak learning school, inc.",private,non-sectarian,es and jhs (k to 10)
1088,quezon,dominiques solis academy corporation,private,non-sectarian,purely es
1089,quezon,dona rosario elementary school,public,deped managed,purely es
1090,quezon,rosa l. susano - novaliches es,public,deped managed,purely es
1091,quezon,san gabriel es,public,deped managed,purely es
1092,quezon,villa verde elementary school,public,deped managed,purely es
1093,quezon,san agustin es,public,deped managed,purely es
1094,quezon,flora a. ylagan hs,public,deped managed,jhs with shs
1095,quezon,carlos l. albert hs,public,deped managed,jhs with shs
1096,quezon,ponciano a. bernardo hs,public,deped managed,purely jhs
1097,quezon,camp crame hs,public,deped managed,purely jhs
1098,quezon,ramon magsaysay (cubao) hs,public,deped managed,jhs with shs
1099,quezon,jose maria panganiban senior high school,public,deped managed,purely shs
1100,quezon,"breamar christian academy, inc.",private,non-sectarian,es and jhs (k to 10)
1101,quezon,holy spirit school,private,sectarian,all offering (k to 12)
1102,quezon,immaculate conception cathedral school,private,sectarian,all offering (k to 12)
1103,quezon,saint pedro poveda college,private,sectarian,all offering (k to 12)
1104,quezon,"abiertas radiance school, inc.",private,non-sectarian,es and jhs (k to 10)
1105,quezon,philippine institute of quezon city,private,non-sectarian,all offering (k to 12)
1106,quezon,capstone highest achiever learning school inc.,private,non-sectarian,purely es
1107,quezon,"st. anthony school of sta. lucia, inc.",private,non-sectarian,purely es
1108,quezon,"trinity polytechnic college, inc.",private,non-sectarian,purely shs
1109,quezon,"daystar academy, inc.",private,non-sectarian,purely es
1110,quezon,"john mark christian school of nova., inc.",private,non-sectarian,purely es
1111,quezon,"brother sun sister moon academy, inc.",private,non-sectarian,purely es
1112,quezon,"book of life christian academy novaliches, inc.",private,non-sectarian,purely es
1113,quezon,"school of the corpus christi (quezon city), inc.",private,non-sectarian,purely es
1114,quezon,"aim scholastic informative academy, inc.",private,non-sectarian,es and jhs (k to 10)
1115,quezon,"young faye learning school, inc.",private,non-sectarian,purely es
1116,quezon,"school of thoughts and principles, inc.",private,non-sectarian,purely es
1117,quezon,"st. alexis community school of qc., inc",private,non-sectarian,purely es
1118,quezon,"kingsville learning center, inc.",private,non-sectarian,purely es
1119,quezon,"mount charmel school for achievers, inc.",private,non-sectarian,all offering (k to 12)
1120,quezon,"divine trinity learning academy, inc.",private,non-sectarian,purely es
1121,quezon,damong maliit es,public,deped managed,purely es
1122,quezon,delfin m. geraldez memorial es,public,deped managed,purely es
1123,quezon,kaligayahan es,public,deped managed,purely es
1124,quezon,lagro es,public,deped managed,purely es
1125,quezon,maligaya es,public,deped managed,purely es
1126,quezon,nagkaisang nayon es,public,deped managed,purely es
1127,quezon,north fairview es,public,deped managed,purely es
1128,quezon,fairview es,public,deped managed,purely es
1129,quezon,west fairview elementary school,public,deped managed,purely es
1130,quezon,quezon city high school,public,deped managed,jhs with shs
1131,quezon,"don alejandro roces, sr. sci. & tech. hs",public,deped managed,jhs with shs
1132,quezon,manuel a. roxas hs,public,deped managed,jhs with shs
1133,quezon,west fairview high school,public,deped managed,purely jhs
1134,quezon,"st. theresa's school of novaliches, inc.",private,non-sectarian,all offering (k to 12)
1135,quezon,jubilee christian academy,private,non-sectarian,all offering (k to 12)
1136,quezon,st. paul university of quezon city,private,sectarian,all offering (k to 12)
1137,quezon,holy family parochial school,private,sectarian,all offering (k to 12)
1138,quezon,neo-vision school,private,non-sectarian,purely es
1139,quezon,"paref-northfield school for boys, inc.",private,non-sectarian,all offering (k to 12)
1140,quezon,people of grace christian schools foundation inc.,private,non-sectarian,es and jhs (k to 10)
1141,quezon,st. mary's college,private,sectarian,all offering (k to 12)
1142,quezon,"cradle of joy center for learning foundation, inc.",private,non-sectarian,es and jhs (k to 10)
1143,quezon,our lady of the sacred heart school,private,sectarian,all offering (k to 12)
1144,quezon,st. joseph's college of quezon city,private,non-sectarian,all offering (k to 12)
1145,quezon,the philippine timothy christian academy of quezon city inc.,private,non-sectarian,purely es
1146,quezon,"active thinkers child development, inc.",private,non-sectarian,purely es
1147,quezon,"jlm  creative learner's home, inc.",private,non-sectarian,purely es
1148,quezon,"the growing place learning center, inc.",private,non-sectarian,purely es
1149,quezon,"jone paul christian school, inc.",private,non-sectarian,es and jhs (k to 10)
1150,quezon,"integrated innovation and hospitality colleges, inc.",private,non-sectarian,purely shs
1151,quezon,lincoln school of arts and languages inc.,private,non-sectarian,purely shs
1152,quezon,johnryn learning school of quezon city,private,non-sectarian,purely es
1153,quezon,kbcf kinder care,private,non-sectarian,purely es
1154,quezon,"paref pre-school, inc.",private,non-sectarian,purely es
1155,quezon,"the meridian international learning experience, inc.",private,non-sectarian,all offering (k to 12)
1156,quezon,starland international school,private,non-sectarian,all offering (k to 12)
1157,quezon,"academia de sta. ana lagro, inc.",private,non-sectarian,purely es
1158,quezon,upstreet kids schoolhouse,private,non-sectarian,purely es
1159,quezon,operation brotherhood montessori center,private,non-sectarian,all offering (k to 12)
1160,quezon,"the raya school, inc.",private,non-sectarian,all offering (k to 12)
1161,quezon,amp stepping stone montessori,private,non-sectarian,purely es
1162,quezon,lsa evergreen christian academy,private,non-sectarian,purely es
1163,quezon,"the fountain of life school of quezon city, inc.",private,non-sectarian,purely es
1164,quezon,"montessori education center of asia pacific, inc.",private,non-sectarian,purely es
1165,quezon,"erudition school, inc. (doing business under the name of leap school for you",private,non-sectarian,purely es
1166,quezon,pedia house for early child development preschool,private,non-sectarian,purely es
1167,quezon,angels of peace academy foundation inc.,private,non-sectarian,purely es
1168,quezon,"cribs to crayons academy, inc.",private,non-sectarian,purely es
1169,quezon,"datamex - college of saint adeline, inc.",private,non-sectarian,all offering (k to 12)
1170,quezon,"affordable private education center, inc. (apec schools)-north fairview bran",private,non-sectarian,jhs with shs
1171,quezon,culiat elementary school,public,deped managed,purely es
1172,quezon,gsis village elementary,public,deped managed,purely es
1173,quezon,new era es,public,deped managed,purely es
1174,quezon,pasong tamo es,public,deped managed,purely es
1175,quezon,tandang sora elementary school,public,deped managed,purely es
1176,quezon,dr. josefa jara martinez hs,public,deped managed,jhs with shs
1177,quezon,leandro locsin integrated school,public,deped managed,jhs with shs
1178,quezon,abe international business college-commonwealth,private,non-sectarian,purely shs
1179,quezon,ama computer learning center - greater lagro,private,non-sectarian,purely shs
1180,quezon,central colleges of the philippines,private,non-sectarian,jhs with shs
1181,quezon,immaculate heart of mary college,private,sectarian,all offering (k to 12)
1182,quezon,"the great lighthouse foundation, inc.",private,non-sectarian,purely es
1183,quezon,"new jerusalem school, inc.",private,non-sectarian,es and jhs (k to 10)
1184,quezon,trinity university of asia,private,non-sectarian,all offering (k to 12)
1185,quezon,cambridge children's learning and development inc.,private,non-sectarian,purely es
1186,quezon,"smart angels school of quezon city, inc.",private,non-sectarian,purely es
1187,quezon,"shepherd's hands learning center of quezon city, inc.",private,non-sectarian,purely es
1188,quezon,"eluel shemea christian academy, inc.",private,non-sectarian,purely es
1189,quezon,the great minds academy school inc.,private,non-sectarian,purely es
1190,quezon,"lady anne's preparatory school of q.c., inc.",private,non-sectarian,purely es
1191,quezon,"holy castle system school, inc.",private,non-sectarian,purely es
1192,quezon,kiddie adventure learning center corp.,private,non-sectarian,purely es
1193,quezon,"little angels of st. therese school, inc.",private,non-sectarian,purely es
1194,quezon,romarinda international school,private,non-sectarian,all offering (k to 12)
1195,quezon,"norwich brent cedric school, inc.",private,non-sectarian,es and jhs (k to 10)
1196,quezon,"marist school of quezon city, inc.",private,non-sectarian,purely es
1197,quezon,piagetian guided educational center,private,non-sectarian,es and jhs (k to 10)
1198,quezon,"king solomon christian school international, inc.",private,non-sectarian,es and jhs (k to 10)
1199,quezon,our lady of victories catholic school of qc,private,non-sectarian,all offering (k to 12)
1200,quezon,"dml montessori school of quezon city, inc.",private,sectarian,purely es
1201,quezon,"wordlab school, inc.",private,non-sectarian,purely es
1202,quezon,jems achievers learning center inc.,private,non-sectarian,purely es
1203,quezon,diamond star learning center,private,non-sectarian,purely es
1204,quezon,"juan miguel academy of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
1205,quezon,"starlight school, inc.",private,non-sectarian,purely es
1206,quezon,"archangel gabriel school of veterans, inc",private,non-sectarian,purely es
1207,quezon,"integrated center for the young, inc.",private,non-sectarian,purely es
1208,quezon,"maria montessori school of mount carmel, inc.",private,non-sectarian,purely es
1209,quezon,"milestone innovative academy, inc.",private,non-sectarian,all offering (k to 12)
1210,quezon,lord's grace learning center,private,non-sectarian,purely es
1211,quezon,christian louis academy pasong tamo inc.,private,non-sectarian,es and jhs (k to 10)
1212,quezon,"first line integrated school, inc.",private,non-sectarian,purely es
1213,quezon,st. jude christian school of quezon city,private,non-sectarian,purely es
1214,quezon,apolonio samson es,public,deped managed,purely es
1215,quezon,balumbato elementary school,public,deped managed,purely es
1216,quezon,bonifacio memorial es,public,deped managed,purely es
1217,quezon,lucas r. pascual memorial  elementary school,public,deped managed,purely es
1218,quezon,leopoldo b. santos es,public,deped managed,purely es
1219,quezon,placido del mundo es,public,deped managed,purely es
1220,quezon,sauyo es,public,deped managed,purely es
1221,quezon,"blessed redeemer christian school, inc.",private,non-sectarian,purely es
1222,quezon,"einstein bright kids academy, inc.",private,non-sectarian,purely es
1223,quezon,"greater heights development and tutorial center, inc.",private,non-sectarian,purely es
1224,quezon,"east baesa academy of quezon city, incorporated",private,non-sectarian,purely es
1225,quezon,st. gertrude school of novaliches inc.,private,non-sectarian,purely es
1226,quezon,"red. brick academy, inc.",private,non-sectarian,purely es
1630,mandaluyong,dona basilisa yangco es,public,deped managed,purely es
1631,mandaluyong,filemon p. javier elementary school,public,deped managed,purely es
1632,mandaluyong,mandaluyong elementary school,public,deped managed,purely es
1633,mandaluyong,plainview  elementary school,public,deped managed,purely es
1634,mandaluyong,renato r. lopez elementary school,public,deped managed,purely es
1635,mandaluyong,mandaluyong high school,public,deped managed,jhs with shs
1636,mandaluyong,mataas na paaralang neptali a. gonzales,public,deped managed,jhs with shs
1637,mandaluyong,city of mandaluyong science hs,public,deped managed,jhs with shs
1638,mandaluyong,bonifacio javier national high school,public,deped managed,jhs with shs
1639,mandaluyong,"our lady of guadalupe colleges, inc.",private,non-sectarian,purely shs
1640,mandaluyong,st. augustine school of nursing mandaluyong city,private,non-sectarian,purely shs
1641,mandaluyong,"international training center and hospitality institute, inc.",private,non-sectarian,purely shs
1642,mandaluyong,"don bosco technical college, inc.",private,sectarian,all offering (k to 12)
1643,mandaluyong,"good shepherd christian school, inc.",private,non-sectarian,all offering (k to 12)
1644,mandaluyong,arellano university (plaridel campus),private,non-sectarian,all offering (k to 12)
1645,mandaluyong,san felipe neri parochial school,private,sectarian,all offering (k to 12)
1646,mandaluyong,international baptist college,private,non-sectarian,all offering (k to 12)
1647,mandaluyong,jose rizal university,private,non-sectarian,all offering (k to 12)
1648,mandaluyong,la salle green hills,private,sectarian,all offering (k to 12)
1649,mandaluyong,living stones christian academy,private,sectarian,purely es
1650,mandaluyong,lourdes school of mandaluyong,private,sectarian,all offering (k to 12)
1651,mandaluyong,"saint john bosco institute of arts and sciences, inc-mandaluyong city",private,sectarian,purely shs
1652,mandaluyong,gateways institute of science and technology (gist) - mandaluyong,private,non-sectarian,purely shs
1653,mandaluyong,"god sent learning center, inc.",private,non-sectarian,purely es
1654,mandaluyong,"amado t. reyes child study center, inc.",private,non-sectarian,purely es
1655,mandaluyong,"esperanza kids castle learning center, inc.",private,non-sectarian,purely es
1656,mandaluyong,smart kids learning center,private,non-sectarian,purely es
1657,mandaluyong,st. therese private school inc.,private,non-sectarian,purely es
1658,mandaluyong,angels institute of learning,private,non-sectarian,purely es
1659,mandaluyong,holistic education montessori center,private,non-sectarian,purely es
1660,mandaluyong,"curum christian school, inc.",private,non-sectarian,purely es
1661,mandaluyong,growing seed learning school,private,non-sectarian,purely es
1662,mandaluyong,la salle green hills adult night high school,private,sectarian,jhs with shs
1663,mandaluyong,kiddo academy and development center corporation,private,non-sectarian,purely es
1664,mandaluyong,"keys school manila, inc.",private,non-sectarian,all offering (k to 12)
1665,mandaluyong,"precious savior and redeemer academy, inc.",private,non-sectarian,purely es
1666,mandaluyong,little thams learning center,private,non-sectarian,purely es
1667,mandaluyong,angeli dei school,private,non-sectarian,purely es
1668,mandaluyong,maranatha christian academy of mandaluyong,private,non-sectarian,all offering (k to 12)
1669,mandaluyong,kids: kids integral development through skillful learning center inc.,private,non-sectarian,purely es
1670,mandaluyong,clayton learning center philippines inc.,private,non-sectarian,purely es
1671,mandaluyong,"st. anthony of makati montessori, inc.",private,non-sectarian,purely es
1672,mandaluyong,cherubs childhood learning academy inc.,private,non-sectarian,purely es
1673,mandaluyong,"rainbow room learning center, inc.",private,non-sectarian,purely es
1674,mandaluyong,"future minds academy of mandaluyong, inc.",private,non-sectarian,purely es
1675,mandaluyong,isaac lopez integrated school (isaac lopez es),public,deped managed,all offering (k to 12)
1676,mandaluyong,hulo integrated school,public,deped managed,es and jhs (k to 10)
1677,mandaluyong,mandaluyong addition hills es,public,deped managed,purely es
1678,mandaluyong,amado t. reyes elementary schools,public,deped managed,purely es
1679,mandaluyong,dona pilar c. gonzaga es,public,deped managed,purely es
1680,mandaluyong,nueve de febrero elementary school,public,deped managed,purely es
1681,mandaluyong,pedro p. cruz (mauway) es,public,deped managed,purely es
1682,mandaluyong,pleasant hills elementary school,public,deped managed,purely es
1683,mandaluyong,l.e.a.d.s. (learning enhanced and developed for students) academy inc.,private,non-sectarian,purely es
1684,mandaluyong,kites and strings learning center inc.,private,sectarian,purely es
1685,mandaluyong,"big dreams academy, inc.",private,non-sectarian,purely es
1686,mandaluyong,"lead educational advancement and development school, inc.",private,non-sectarian,purely es
1687,mandaluyong,"independent living learning center, inc.",private,non-sectarian,es and jhs (k to 10)
1688,mandaluyong,"academia progresiva de manila, inc.",private,non-sectarian,purely es
1689,mandaluyong,headstart schools of mandaluyong inc.,private,non-sectarian,purely es
1690,mandaluyong,"brilliant juniors academic enhancement center, inc.",private,non-sectarian,purely es
1691,mandaluyong,andres bonifacio integrated school,public,deped managed,all offering (k to 12)
1692,mandaluyong,highway hills integrated school,public,deped managed,all offering (k to 12)
1693,mandaluyong,eulogio rodriguez integrated school,public,deped managed,all offering (k to 12)
1694,mandaluyong,jose fabella memorial school,public,deped managed,all offering (k to 12)
1695,mandaluyong,ilaya barangka integrated school,public,deped managed,all offering (k to 12)
1696,mandaluyong,addition hills integrated school,public,deped managed,all offering (k to 12)
